Datetime,Open,High,Low,Close,MA50
8/24/07 0:00,1.35613,1.36828,1.35497,1.36725,1.3659866
8/26/07 0:00,1.36745,1.36814,1.36612,1.36777,1.3664236
8/27/07 0:00,1.36777,1.36852,1.36303,1.36343,1.3669064
8/28/07 0:00,1.3634,1.36799,1.35698,1.3574,1.3670964
8/29/07 0:00,1.3576,1.36802,1.3557,1.36682,1.3671758
8/30/07 0:00,1.36671,1.3672,1.35883,1.36674,1.3672748
8/31/07 0:00,1.36669,1.37191,1.36158,1.36279,1.3673988
9/2/07 0:00,1.36276,1.36349,1.36223,1.36308,1.3674228
9/3/07 0:00,1.36299,1.36541,1.36017,1.36109,1.3675
9/4/07 0:00,1.36094,1.36256,1.3548,1.36221,1.3674712
9/5/07 0:00,1.36209,1.36712,1.3566,1.36506,1.367468
9/6/07 0:00,1.36498,1.37098,1.36308,1.36902,1.3675286
9/7/07 0:00,1.36906,1.37978,1.36601,1.37657,1.3674232
9/9/07 0:00,1.37681,1.37851,1.37659,1.37772,1.367466
9/10/07 0:00,1.37743,1.38143,1.37644,1.37907,1.3674558
9/11/07 0:00,1.37906,1.38482,1.37756,1.38372,1.367475
9/12/07 0:00,1.38352,1.39141,1.38207,1.38928,1.3675994
9/13/07 0:00,1.38923,1.39265,1.386,1.3871,1.3678384
9/14/07 0:00,1.38696,1.38947,1.38414,1.38728,1.3679934
9/16/07 0:00,1.3868,1.38727,1.38522,1.38585,1.36813
9/17/07 0:00,1.38589,1.38899,1.38474,1.38649,1.3682534
9/18/07 0:00,1.3865,1.39889,1.38271,1.39748,1.368333
9/19/07 0:00,1.39726,1.39867,1.39323,1.39722,1.3686098
9/20/07 0:00,1.39717,1.40993,1.39659,1.4067,1.3689578
9/21/07 0:00,1.40669,1.41195,1.40394,1.40885,1.3694528
9/23/07 0:00,1.40901,1.40938,1.40811,1.40901,1.3701892
9/24/07 0:00,1.40897,1.41293,1.40653,1.40704,1.370869
9/25/07 0:00,1.4071,1.41628,1.40567,1.41454,1.3717486
9/26/07 0:00,1.4145,1.41556,1.41084,1.41263,1.372775
9/27/07 0:00,1.41268,1.41892,1.41195,1.41544,1.3735882
9/28/07 0:00,1.41537,1.42772,1.41462,1.42656,1.3745558
9/30/07 0:00,1.42723,1.42808,1.42604,1.42672,1.3757586
10/1/07 0:00,1.42678,1.42751,1.42075,1.42299,1.3768882
10/2/07 0:00,1.42329,1.42389,1.41353,1.41517,1.3778084
10/3/07 0:00,1.41512,1.42012,1.40791,1.40961,1.3784792
10/4/07 0:00,1.40947,1.41488,1.40641,1.41342,1.3790554
10/5/07 0:00,1.41336,1.41569,1.40313,1.41336,1.3798246
10/7/07 0:00,1.4134,1.41526,1.41335,1.41481,1.3804932
10/8/07 0:00,1.41468,1.41487,1.40321,1.4044,1.3814646
10/9/07 0:00,1.40434,1.41147,1.40093,1.41049,1.3821712
10/10/07 0:00,1.41067,1.41715,1.40914,1.41373,1.3830016
10/11/07 0:00,1.4137,1.42402,1.41318,1.41973,1.3840624
10/12/07 0:00,1.41982,1.42125,1.41522,1.41763,1.385398
10/14/07 0:00,1.41745,1.41866,1.41609,1.41649,1.3868944
10/15/07 0:00,1.4164,1.42429,1.41559,1.4198,1.3883672
10/16/07 0:00,1.42043,1.42265,1.41397,1.41742,1.389819
10/17/07 0:00,1.41751,1.42301,1.41562,1.42045,1.3912264
10/18/07 0:00,1.4204,1.43097,1.41921,1.42893,1.3926934
10/19/07 0:00,1.42905,1.43179,1.42426,1.42985,1.3943404
10/21/07 0:00,1.43037,1.43501,1.43037,1.43364,1.3958462
10/22/07 0:00,1.43364,1.43437,1.41231,1.41747,1.397397
10/23/07 0:00,1.4174,1.42782,1.41687,1.42545,1.3984014
10/24/07 0:00,1.4254,1.42698,1.41873,1.42599,1.399555
10/25/07 0:00,1.42583,1.43443,1.42436,1.43223,1.4008062
10/26/07 0:00,1.43222,1.43953,1.43137,1.43908,1.4023028
10/28/07 0:00,1.44146,1.44221,1.43989,1.44021,1.403748
10/29/07 0:00,1.44037,1.44378,1.43738,1.44153,1.4052174
10/30/07 0:00,1.44135,1.44428,1.43717,1.44369,1.4067922
